INFO:root:Epoch 79: Train Loss = 0.06407446898519993, Test Loss = 0.24993439763784409, Time = 0.20s
INFO:root:Epoch 80: Train Loss = 0.06306512430310249, Test Loss = 0.24623072147369385, Time = 0.20s
INFO:root:Epoch 81: Train Loss = 0.06261299960315228, Test Loss = 0.245594322681427, Time = 0.20s
INFO:root:Epoch 82: Train Loss = 0.061454888433218, Test Loss = 0.24455181509256363, Time = 0.20s
INFO:root:Epoch 83: Train Loss = 0.06180826649069786, Test Loss = 0.2432555854320526, Time = 0.20s
INFO:root:Epoch 84: Train Loss = 0.06297795325517655, Test Loss = 0.24511916935443878, Time = 0.20s
INFO:root:Epoch 85: Train Loss = 0.06333062686026096, Test Loss = 0.24870838969945908, Time = 0.20s
INFO:root:Epoch 86: Train Loss = 0.06083484403789043, Test Loss = 0.24849383533000946, Time = 0.20s
INFO:root:Epoch 87: Train Loss = 0.05981210507452488, Test Loss = 0.24834094941616058, Time = 0.20s
INFO:root:Epoch 88: Train Loss = 0.062401141971349716, Test Loss = 0.24743826687335968, Time = 0.20s
INFO:root:Epoch 89: Train Loss = 0.06218108534812927, Test Loss = 0.2453029677271843, Time = 0.20s
INFO:root:Epoch 90: Train Loss = 0.062191175669431685, Test Loss = 0.24384363740682602, Time = 0.20s
INFO:root:Epoch 91: Train Loss = 0.0600505318492651, Test Loss = 0.24450954794883728, Time = 0.20s
INFO:root:Epoch 92: Train Loss = 0.05884152315557003, Test Loss = 0.24426423013210297, Time = 0.20s
INFO:root:Epoch 93: Train Loss = 0.06020930334925652, Test Loss = 0.24434992671012878, Time = 0.21s
INFO:root:Epoch 94: Train Loss = 0.06088419407606125, Test Loss = 0.24497810006141663, Time = 0.20s
INFO:root:Epoch 95: Train Loss = 0.060914159566164014, Test Loss = 0.24442028999328613, Time = 0.20s
INFO:root:Epoch 96: Train Loss = 0.0609036210924387, Test Loss = 0.24511714279651642, Time = 0.20s
INFO:root:Epoch 97: Train Loss = 0.060242168605327606, Test Loss = 0.24718806892633438, Time = 0.20s
